Index,Deci,Demod
"910.0","16.0","5.0"
"911.0","656.0","30.0"
"912.0","1168.0","19.0"
"913.0","1472.0","30.0"
"914.0","1520.0","58.0"
"915.0","1328.0","75.0"
"916.0","896.0","68.0"
"917.0","288.0","42.0"
"918.0","-528.0","13.0"
"919.0","-1200.0","7.0"
"920.0","-1872.0","32.0"
"921.0","-2352.0","93.0"
"922.0","-2608.0","163.0"
"923.0","-2608.0","223.0"
"924.0","-2400.0","248.0"
"925.0","-1936.0","228.0"
"926.0","-1360.0","174.0"
"927.0","-624.0","103.0"
"928.0","96.0","42.0"
"929.0","704.0","9.0"
"930.0","1168.0","8.0"
"931.0","1456.0","31.0"
"932.0","1520.0","59.0"
"933.0","1312.0","74.0"
"934.0","864.0","66.0"
"935.0","240.0","40.0"
"936.0","-528.0","13.0"
"937.0","-1216.0","7.0"
"938.0","-1872.0","33.0"
"939.0","-2352.0","93.0"
"940.0","-2608.0","164.0"
"941.0","-2592.0","222.0"
"942.0","-2352.0","245.0"
"943.0","-1888.0","223.0"
"944.0","-1312.0","168.0"
"945.0","-608.0","98.0"
"946.0","112.0","39.0"
"947.0","736.0","8.0"
"948.0","1184.0","9.0"
"949.0","1472.0","32.0"
"950.0","1536.0","61.0"
"951.0","1312.0","75.0"
"952.0","848.0","67.0"
"953.0","224.0","40.0"
"954.0","-544.0","12.0"
"955.0","-848.0","5.0"
"956.0","944.0","-11.0"
"957.0","1504.0","20.0"
"958.0","464.0","3.0"
"959.0","-1344.0","9.0"
"960.0","-2528.0","41.0"
"961.0","-2288.0","89.0"
"962.0","-640.0","105.0"
"963.0","1056.0","72.0"
"964.0","1472.0","26.0"
"965.0","304.0","3.0"
"966.0","-1472.0","11.0"
"967.0","-2592.0","44.0"
"968.0","-2176.0","94.0"
"969.0","-464.0","103.0"
"970.0","1184.0","67.0"
"971.0","1408.0","23.0"
"972.0","160.0","2.0"
"973.0","-1632.0","13.0"
"974.0","-2624.0","49.0"
"975.0","-2064.0","97.0"
"976.0","-288.0","102.0"
"977.0","1280.0","63.0"
"978.0","1360.0","20.0"
"979.0","-16.0","2.0"
"980.0","-1808.0","15.0"
"981.0","-2656.0","55.0"
"982.0","-1904.0","100.0"
"983.0","-112.0","101.0"
"984.0","1360.0","58.0"
"985.0","1296.0","17.0"
"986.0","-192.0","2.0"
"987.0","-1904.0","18.0"
"988.0","-2640.0","58.0"
"989.0","-1760.0","102.0"
"990.0","144.0","93.0"
"991.0","1424.0","54.0"
"992.0","1200.0","13.0"
"993.0","-352.0","4.0"
"994.0","-2048.0","21.0"
"995.0","-2640.0","64.0"
"996.0","-1664.0","106.0"
"997.0","240.0","95.0"
"998.0","1504.0","51.0"
"999.0","1072.0","11.0"
